symbol,underlying,asset_class,expiry,strike,type,bid,ask,last,mark,volume,open_interest,contract_size,underlying_ccy,quote_ccy,is_inverse,iv,asof_utc,spot
NVDA250919C00005000,NVDA,equity,2025-09-19 00:00:00+00:00,5.0,C,163.8,164.9,165.18,,25.0,13558.0,100.0,USD,USD,False,1.0000000000000003e-05,2025-09-08 16:20:43.152791+00:00,170.135
NVDA250919C00010000,NVDA,equity,2025-09-19 00:00:00+00:00,10.0,C,158.85,159.7,170.2,,56.0,68.0,100.0,USD,USD,False,1.0000000000000003e-05,2025-09-08 16:20:43.152791+00:00,170.135
NVDA250919C00015000,NVDA,equity,2025-09-19 00:00:00+00:00,15.0,C,153.55,155.1,159.35,,2.0,56.0,100.0,USD,USD,False,1.0000000000000003e-05,2025-09-08 16:20:43.152791+00:00,170.135
NVDA250919C00020000,NVDA,equity,2025-09-19 00:00:00+00:00,20.0,C,149.15,150.9,151.27,,2.0,524.0,100.0,USD,USD,False,6.410158237304687,2025-09-08 16:20:43.152791+00:00,170.135
NVDA250919C00025000,NVDA,equity,2025-09-19 00:00:00+00:00,25.0,C,144.15,145.9,144.81,,1.0,229.0,100.0,USD,USD,False,5.714846606445313,2025-09-08 16:20:43.152791+00:00,170.135
NVDA250919C00030000,NVDA,equity,2025-09-19 00:00:00+00:00,30.0,C,138.4,140.65,136.7,,10.0,535.0,100.0,USD,USD,False,4.824222719726562,2025-09-08 16:20:43.152791+00:00,170.135
NVDA250919C00035000,NVDA,equity,2025-09-19 00:00:00+00:00,35.0,C,134.2,135.85,134.9,,13.0,461.0,100.0,USD,USD,False,4.648441689453126,2025-09-08 16:20:43.152791+00:00,170.135
NVDA250919C00039000,NVDA,equity,2025-09-19 00:00:00+00:00,39.0,C,130.15,130.7,131.87,,2.0,244.0,100.0,USD,USD,False,1.0000000000000003e-05,2025-09-08 16:20:43.152791+00:00,170.135
NVDA250919C00040000,NVDA,equity,2025-09-19 00:00:00+00:00,40.0,C,128.55,130.5,126.0,,31.0,669.0,100.0,USD,USD,False,3.824219189453125,2025-09-08 16:20:43.152791+00:00,170.135
NVDA250919C00041000,NVDA,equity,2025-09-19 00:00:00+00:00,41.0,C,128.15,130.0,123.52,,3.0,74.0,100.0,USD,USD,False,4.338871763916016,2025-09-08 16:20:43.152791+00:00,170.135
NVDA250919C00042000,NVDA,equity,2025-09-19 00:00:00+00:00,42.0,C,127.15,129.0,125.23,,23.0,142.0,100.0,USD,USD,False,4.267582790527343,2025-09-08 16:20:43.152791+00:00,170.135
NVDA250919C00043000,NVDA,equity,2025-09-19 00:00:00+00:00,43.0,C,126.15,127.9,121.48,,3.0,42.0,100.0,USD,USD,False,4.107426740722656,2025-09-08 16:20:43.152791+00:00,170.135
NVDA250919C00044000,NVDA,equity,2025-09-19 00:00:00+00:00,44.0,C,121.65,125.15,100.07,,1.0,6.0,100.0,USD,USD,False,1.0000000000000003e-05,2025-09-08 16:20:43.152791+00:00,170.135
